SubmissionDate,starttime,date,eggs-generated_table_list_label_6,eggs-reserved_name_for_field_list_labels_7,eggs-speckled,eggs-peach,eggs-white,eggs-green,meta-instanceID,KEY
"9 Jul 2018, 08:26:40","9 Jul 2018, 08:25:00",2 Jul 2018,"","",No,Yes,No,Yes,uuid:c6e7ae6e-60ec-4580-a420-f00144a9cf84,uuid:c6e7ae6e-60ec-4580-a420-f00144a9cf84
"9 Jul 2018, 08:27:30","9 Jul 2018, 08:27:00",3 Jul 2018,"","",No,Yes,Yes,Yes,uuid:75a57653-ee25-45da-962e-eccdd45be1cf,uuid:75a57653-ee25-45da-962e-eccdd45be1cf
"9 Jul 2018, 08:28:32","9 Jul 2018, 08:27:44",4 Jul 2018,"","",No,Yes,Yes,Yes,uuid:054dda65-db25-4cba-99e6-8f06386d77f7,uuid:054dda65-db25-4cba-99e6-8f06386d77f7
"9 Jul 2018, 08:29:11","9 Jul 2018, 08:28:46",5 Jul 2018,"","",No,Yes,Yes,Yes,uuid:b7c0aeb1-2b48-4196-b5e4-9def3469673e,uuid:b7c0aeb1-2b48-4196-b5e4-9def3469673e
"9 Jul 2018, 18:34:37","9 Jul 2018, 18:33:17",6 Jul 2018,"","",Yes,Yes,Yes,Yes,uuid:f75e34a2-3eb8-46eb-895c-cdc362dfe117,uuid:f75e34a2-3eb8-46eb-895c-cdc362dfe117
"9 Jul 2018, 18:36:26","9 Jul 2018, 18:34:40",7 Jul 2018,"","",Yes,No,Yes,Yes,uuid:ab9009d6-a748-4f52-93df-06ccd34a117e,uuid:ab9009d6-a748-4f52-93df-06ccd34a117e
"9 Jul 2018, 18:37:09","9 Jul 2018, 18:36:31",8 Jul 2018,"","",Yes,No,Yes,Yes,uuid:5011d69c-374f-487e-b6cb-6d33390007e1,uuid:5011d69c-374f-487e-b6cb-6d33390007e1
"9 Jul 2018, 18:37:57","9 Jul 2018, 18:37:11",9 Jul 2018,"","",No,Yes,Yes,Yes,uuid:8b871165-3336-44ce-9676-6168afff170e,uuid:8b871165-3336-44ce-9676-6168afff170e
"10 Jul 2018, 20:29:09","10 Jul 2018, 08:04:39",10 Jul 2018,"","",No,Yes,Yes,Yes,uuid:be646700-c854-4237-b723-068418fe3157,uuid:be646700-c854-4237-b723-068418fe3157
"11 Jul 2018, 18:08:10","11 Jul 2018, 18:07:57",11 Jul 2018,"","",No,Yes,Yes,Yes,uuid:35d843e0-2eaa-4231-beb0-d84919ad6459,uuid:35d843e0-2eaa-4231-beb0-d84919ad6459
"12 Jul 2018, 18:38:22","12 Jul 2018, 18:38:12",12 Jul 2018,"","",No,Yes,Yes,Yes,uuid:7d217585-e24f-4181-bc37-8741cff5f10b,uuid:7d217585-e24f-4181-bc37-8741cff5f10b
"13 Jul 2018, 17:32:44","13 Jul 2018, 17:32:34",13 Jul 2018,"","",Yes,Yes,Yes,Yes,uuid:8692ca35-234b-4ea5-86f6-2a6eecf7dfff,uuid:8692ca35-234b-4ea5-86f6-2a6eecf7dfff
"14 Jul 2018, 11:39:04","14 Jul 2018, 11:38:55",14 Jul 2018,"","",Yes,Yes,Yes,Yes,uuid:b979b379-edc8-402f-a3b4-fa6a6c22c25b,uuid:b979b379-edc8-402f-a3b4-fa6a6c22c25b
"15 Jul 2018, 10:22:50","15 Jul 2018, 10:22:40",15 Jul 2018,"","",Yes,Yes,Yes,Yes,uuid:747721d0-c896-4f06-a759-ad09c56340e1,uuid:747721d0-c896-4f06-a759-ad09c56340e1
"16 Jul 2018, 18:50:58","16 Jul 2018, 18:50:42",16 Jul 2018,"","",Yes,Yes,Yes,Yes,uuid:c236d044-4245-45c4-ac21-30a02e365e7c,uuid:c236d044-4245-45c4-ac21-30a02e365e7c
"18 Jul 2018, 19:43:33","18 Jul 2018, 19:43:18",18 Jul 2018,"","",Yes,No,Yes,Yes,uuid:4db0c131-bcfd-4036-b326-b291a11cab75,uuid:4db0c131-bcfd-4036-b326-b291a11cab75
"19 Jul 2018, 17:53:58","19 Jul 2018, 17:53:44",18 Jul 2018,"","",Yes,Yes,Yes,Yes,uuid:fa83d945-55e5-4f14-8c98-c545da4470c8,uuid:fa83d945-55e5-4f14-8c98-c545da4470c8
"19 Jul 2018, 17:54:10","19 Jul 2018, 17:53:59",19 Jul 2018,"","",Yes,Yes,Yes,Yes,uuid:45fbef8a-ce0d-441e-8f3d-bf8024de551f,uuid:45fbef8a-ce0d-441e-8f3d-bf8024de551f
"29 Jul 2018, 08:14:12","28 Jul 2018, 12:10:18",28 Jul 2018,"","",Yes,Yes,Yes,No,uuid:c10cfc60-b21d-4d23-8ccc-b11fbbe5ddaf,uuid:c10cfc60-b21d-4d23-8ccc-b11fbbe5ddaf
"29 Jul 2018, 13:27:59","29 Jul 2018, 13:27:54",29 Jul 2018,"","",Yes,Yes,Yes,Yes,uuid:d48d3d3d-35e5-42f5-b88b-8f9a4769ba9d,uuid:d48d3d3d-35e5-42f5-b88b-8f9a4769ba9d
"30 Jul 2018, 17:51:29","30 Jul 2018, 17:51:12",30 Jul 2018,"","",Yes,Yes,Yes,Yes,uuid:c0e28660-de03-47e5-9e9a-4286401a4f8c,uuid:c0e28660-de03-47e5-9e9a-4286401a4f8c
